scenario_name,policy_name,decision_count,switch_rate,base_penalty_ms,spike_penalty_ms,spike_probability,n_trials,mean_penalized_latency_ms,mean_penalized_latency_ci_low_ms,mean_penalized_latency_ci_high_ms,mean_penalized_decision_gap_ms,mean_penalized_decision_gap_ci_low_ms,mean_penalized_decision_gap_ci_high_ms,success_rate_under_60ms,success_rate_ci_low,success_rate_ci_high,p95_penalized_latency_ms,cvar95_penalized_latency_ms,mean_spike_event_rate
operational_mild,predictive_greedy,28,0.5,10.0,75.0,0.1,256,54.56607248734677,50.82025775520392,61.534543469489634,13.156861552521997,9.411046820379141,20.12533253466486,0.7776227678571428,0.6785714285714286,0.8214285714285714,90.24401317629294,108.20223891556978,0.04994419642857141
operational_mild,predictive_graph_greedy,28,0.5,10.0,75.0,0.1,256,55.939616228447875,52.26704368380501,62.98132939809072,14.530405293623083,10.857832748980226,21.572118463265944,0.7151227678571428,0.6428571428571429,0.75,96.70377204000076,114.22178164872672,0.04896763392857142
operational_mild,predictive_simple_fusion_greedy,28,0.5,10.0,75.0,0.1,256,53.40907731997717,49.851599641405734,60.56588535569144,11.999866385152382,8.442388706580955,19.15667442086667,0.7487444196428572,0.6785714285714286,0.7857142857142857,88.2242464925543,106.73409805350876,0.0474330357142857
operational_mild,predictive_consensus_greedy,28,0.5714285714285714,10.0,75.0,0.1,256,56.45505757442202,52.12330534227916,62.837591056564875,15.045846639597244,10.714094407454386,21.4283801217401,0.7099609375,0.6071428571428571,0.75,100.40688709403312,118.21427126424223,0.05775669642857142
operational_mild,ensemble_uncertainty_selector,28,0.42857142857142855,10.0,75.0,0.1,256,50.8244472034589,47.873833364173194,55.90954764988748,9.415236268634128,6.464622429348415,14.500336715062701,0.8243582589285714,0.75,0.8571428571428571,84.70117758069311,100.73319791996222,0.03934151785714285
operational_mild,conformal_uncertainty_selector,28,0.4642857142857143,10.0,75.0,0.1,256,52.59645154299041,49.112216051918985,58.82203748049041,11.187240608165629,7.703005117094202,17.41282654566563,0.7827845982142857,0.7142857142857143,0.8214285714285714,88.10266718642652,106.3402513175555,0.046456473214285705
operational_mild,disagreement_aware_selector,28,0.5,10.0,75.0,0.1,256,53.66336823519415,49.72921644947986,60.44350216376557,12.254157300369366,8.320005514655078,19.034291228940795,0.7438616071428572,0.65625,0.7857142857142857,88.76690319658155,105.83252048915061,0.05245535714285714
operational_moderate,random,28,0.32142857142857145,10.0,75.0,0.1,256,68.89716143805188,66.38600072376616,74.42171500948044,24.157796828912005,21.64663611462629,29.682350400340574,0.3829520089285715,0.3348214285714286,0.39285714285714285,104.42056905895646,121.10944442947115,0.03348214285714285
operational_moderate,best_historical_path,28,0.07142857142857142,10.0,75.0,0.1,256,59.978966948983086,59.37210310969736,62.05067453826879,15.239602339843216,14.6327385005575,17.311309929128928,0.5673828124999999,0.5357142857142857,0.5714285714285714,91.84284878219054,99.30174216097882,0.008091517857142856
operational_moderate,highest_reply_availability,28,0.6785714285714286,10.0,75.0,0.1,256,62.30792946583845,57.12866049262417,70.52151763548132,17.568564856698575,12.38929588348429,25.78215302634143,0.6058872767857142,0.5357142857142857,0.6428571428571429,116.43453670429491,133.2229130317432,0.06905691964285714
operational_moderate,reactive_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,56.0027708195762,52.57085117671905,63.28513689100477,11.263406210436328,7.8314865675791845,18.545772281864895,0.7501395089285714,0.6785714285714286,0.7857142857142857,104.53213314218974,119.54067431853169,0.04575892857142856
operational_moderate,predictive_greedy,28,0.5,10.0,75.0,0.1,256,60.42200116169216,56.80174446526358,67.51603017954929,15.682636552552289,12.062379856123716,22.776665570409428,0.6114676339285714,0.5357142857142857,0.6428571428571429,99.5953022823658,114.85051330003819,0.048270089285714274
operational_moderate,predictive_graph_greedy,28,0.5,10.0,75.0,0.1,256,61.32926333749077,57.40557472141934,68.11986043570506,16.589898728350903,12.666210112279472,23.380495826565184,0.6030970982142857,0.5357142857142857,0.6428571428571429,100.43892221564765,115.39561435284244,0.0523158482142857
operational_moderate,predictive_simple_fusion_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,59.70390013470892,55.86391687578036,66.57820259006607,14.964535525569072,11.124552266640498,21.83883798092622,0.6435546875,0.5714285714285714,0.6785714285714286,100.76301247043273,115.84090961851757,0.051199776785714274
operational_moderate,predictive_consensus_greedy,28,0.42857142857142855,10.0,75.0,0.1,256,59.411348355824444,56.1991552754673,66.91344098975301,14.67198374668457,11.459790666327425,22.174076380613144,0.646484375,0.5714285714285714,0.6785714285714286,98.25166186150614,111.66130641592221,0.04282924107142856
operational_moderate,ensemble_uncertainty_selector,28,0.5714285714285714,10.0,75.0,0.1,256,58.462078549653484,54.119863147867775,66.50825600501064,13.722713940513632,9.380498538727919,21.768891395870778,0.7038225446428572,0.6071428571428571,0.75,102.11249960270003,116.82076493349489,0.05789620535714285
operational_moderate,conformal_uncertainty_selector,28,0.4642857142857143,10.0,75.0,0.1,256,58.6058639093759,54.93329136473305,65.64757707901876,13.866499300236043,10.193926755593186,20.908212469878897,0.6421595982142858,0.5491071428571428,0.6785714285714286,103.17300379606576,117.61944082836257,0.04896763392857142
operational_moderate,disagreement_aware_selector,28,0.42857142857142855,10.0,75.0,0.1,256,59.51193576979851,56.36252170729853,64.39823599301282,14.772571160658655,11.623157098158657,19.658871383872945,0.6467633928571429,0.5714285714285714,0.6785714285714286,98.30141511685108,111.66033478289529,0.0419921875
operational_severe,random,28,0.32142857142857145,10.0,75.0,0.1,256,80.54708583844624,78.17194632951767,86.20766061523196,28.12936364974196,25.754224140813392,33.78993842652768,0.34179687499999994,0.2857142857142857,0.35714285714285715,117.42083146115964,130.56487710478015,0.03166852678571428
operational_severe,best_historical_path,28,0.07142857142857142,10.0,75.0,0.1,256,78.28001271797544,77.76731740547544,80.44588883404687,25.86229052927117,25.349595216771178,28.028166645342605,0.28194754464285704,0.25,0.2857142857142857,109.62694835603618,113.39395693186096,0.006835937499999998
operational_severe,highest_reply_availability,28,0.6785714285714286,10.0,75.0,0.1,256,69.89116204878616,65.32922008450043,77.71761294164331,17.47343986008189,12.911497895796176,25.29989075293903,0.5357142857142856,0.4642857142857143,0.5714285714285714,124.62518905185584,137.56621944032364,0.06082589285714285
operational_severe,reactive_greedy,28,0.6071428571428571,10.0,75.0,0.1,256,65.93583912273036,61.44713934594464,74.83999648880179,13.51811693402608,9.029417157240365,22.42227430009751,0.6078404017857142,0.5357142857142857,0.6428571428571429,128.487283394312,145.6168489080132,0.05984933035714285
operational_severe,predictive_greedy,28,0.5,10.0,75.0,0.1,256,74.80182644913351,71.38036997591924,79.41608426163353,22.384104260429268,18.962647787214983,26.998362072929268,0.44461495535714296,0.39285714285714285,0.4642857142857143,119.4097807183959,136.0842686208441,0.04561941964285713
operational_severe,predictive_graph_greedy,28,0.5,10.0,75.0,0.1,256,72.79297757528543,69.00531016457113,79.71959587885685,20.37525538658117,16.587587975866885,27.301873690152597,0.4720982142857143,0.39285714285714285,0.5,122.745014496494,139.42276325506768,0.05050223214285714
operational_severe,predictive_simple_fusion_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,74.37653587199813,70.82952136306956,81.54380707735528,21.958813683293876,18.41179917436531,29.126084888651018,0.4375000000000001,0.35714285714285715,0.4642857142857143,123.78807517316716,138.21000000285983,0.047293526785714274
operational_severe,predictive_consensus_greedy,28,0.4642857142857143,10.0,75.0,0.1,256,73.83473635184811,70.41327987863382,78.44899416434812,21.417014163143854,17.99555768992957,26.031271975643854,0.44029017857142866,0.3705357142857143,0.4642857142857143,122.9968160863005,138.41943549901544,0.04561941964285713
operational_severe,ensemble_uncertainty_selector,28,0.6071428571428571,10.0,75.0,0.1,256,66.15555487845721,61.53083389631435,72.24511961060007,13.73783268975296,9.113111707610104,19.827397421895817,0.6032366071428572,0.5,0.6428571428571429,121.74379941631649,138.08146019792494,0.06166294642857142
operational_severe,conformal_uncertainty_selector,28,0.5,10.0,75.0,0.1,256,73.7799084520986,70.09687273781289,80.81115845209862,21.36218626339435,17.679150549108634,28.393436263394346,0.4436383928571429,0.39285714285714285,0.4642857142857143,123.98674164056703,141.18522424219435,0.04910714285714285
operational_severe,disagreement_aware_selector,28,0.4642857142857143,10.0,75.0,0.1,256,72.81391224900685,69.02624483829256,79.74053055257829,20.396190060302594,16.608522649588313,27.32280836387402,0.4351283482142858,0.35714285714285715,0.4642857142857143,122.03911402239498,136.12689051628962,0.05050223214285714
