comparison_name,metric_name,sample_count,mean_delta,median_delta,ci_lower,ci_upper,statistic,p_value,holm_adjusted_p_value,effect_size_dz,win_rate,loss_rate,scenario_name
graph_vs_temporal,cumulative_decision_gap_5_ms,19,-2.1285129074943225,0.0,-5.184048290388989,0.0,0.0,0.10880943004054569,0.7616660102838199,-0.36258124961740096,0.15789473684210525,0.0,temporal_shift
risk_adjusted_vs_temporal,realized_next_latency_ms,119,-0.14455761715537596,0.0,-0.6270507331806741,0.23399755721078272,50.0,0.8752911852109797,1.0,-0.06090426270411295,0.06722689075630252,0.05042016806722689,site_holdout
risk_adjusted_vs_temporal,decision_gap_ms,119,-0.14455761715537596,0.0,-0.6270507331806741,0.23399755721078272,50.0,0.8752911852109797,1.0,-0.06090426270411295,0.06722689075630252,0.05042016806722689,site_holdout
risk_adjusted_vs_temporal,success_under_budget,119,0.008403361344537815,0.0,0.0,0.025210084033613446,0.0,0.31731050786291415,0.9519315235887424,0.09166984970282112,0.0,0.008403361344537815,site_holdout
risk_adjusted_vs_temporal,realized_cumulative_latency_3_ms,114,0.1296820921301803,0.0,-0.14635359531793712,0.4180514500304533,33.0,0.38235208985751545,0.7647041797150309,0.08352722088552161,0.05263157894736842,0.06140350877192982,site_holdout
risk_adjusted_vs_temporal,cumulative_decision_gap_3_ms,114,0.1296820921301803,0.0,-0.14635359531793712,0.4180514500304533,33.0,0.38235208985751545,0.7647041797150309,0.08352722088552161,0.05263157894736842,0.06140350877192982,site_holdout
risk_adjusted_vs_temporal,realized_cumulative_latency_5_ms,111,0.22573081384600646,0.0,-0.5367315528278083,0.8730282537350443,30.0,0.2787073832496024,0.7465916248137662,0.05953327469052035,0.04504504504504504,0.07207207207207207,site_holdout
risk_adjusted_vs_temporal,cumulative_decision_gap_5_ms,111,0.22573081384600646,0.0,-0.5367315528278083,0.8730282537350443,30.0,0.2787073832496024,0.7465916248137662,0.05953327469052035,0.04504504504504504,0.07207207207207207,site_holdout
risk_adjusted_vs_graph,realized_next_latency_ms,119,-0.9443172355546017,0.0,-1.992121683956575,-0.07041446303733236,228.0,0.23475155099841394,1.0,-0.18074139339165082,0.16806722689075632,0.11764705882352941,site_holdout
risk_adjusted_vs_graph,decision_gap_ms,119,-0.9443172355546017,0.0,-1.992121683956575,-0.07041446303733236,228.0,0.23475155099841394,1.0,-0.18074139339165082,0.16806722689075632,0.11764705882352941,site_holdout
risk_adjusted_vs_graph,success_under_budget,119,0.04201680672268908,0.0,0.008403361344537815,0.08403361344537816,0.0,0.025347318677468256,0.15208391206480953,0.20854515252765626,0.0,0.04201680672268908,site_holdout
risk_adjusted_vs_graph,realized_cumulative_latency_3_ms,114,-1.2614545064634373,0.0,-2.4188932026443255,-0.3588748911399087,166.0,0.06687754220502674,0.267510168820107,-0.21945936766915927,0.17543859649122806,0.10526315789473684,site_holdout
risk_adjusted_vs_graph,cumulative_decision_gap_3_ms,114,-1.2614545064634373,0.0,-2.4188932026443255,-0.3588748911399087,166.0,0.06687754220502674,0.267510168820107,-0.21945936766915927,0.17543859649122806,0.10526315789473684,site_holdout
risk_adjusted_vs_graph,realized_cumulative_latency_5_ms,110,-1.9932425380431178,0.0,-3.669330819295017,-0.3755006709066858,121.0,0.012818902807827296,0.06409451403913648,-0.21991255755427816,0.2,0.08181818181818182,site_holdout
risk_adjusted_vs_graph,cumulative_decision_gap_5_ms,110,-1.9932425380431178,0.0,-3.669330819295017,-0.3755006709066858,121.0,0.012818902807827296,0.06409451403913648,-0.21991255755427816,0.2,0.08181818181818182,site_holdout
risk_adjusted_vs_fusion,realized_next_latency_ms,119,-0.10369169424113162,0.0,-0.6015021416178759,0.3334936290562424,59.0,0.9547075542182767,1.0,-0.03991174497695125,0.06722689075630252,0.058823529411764705,site_holdout
risk_adjusted_vs_fusion,decision_gap_ms,119,-0.10369169424113162,0.0,-0.6015021416178759,0.3334936290562424,59.0,0.9547075542182767,1.0,-0.03991174497695125,0.06722689075630252,0.058823529411764705,site_holdout
risk_adjusted_vs_fusion,success_under_budget,119,0.008403361344537815,0.0,0.0,0.025210084033613446,0.0,0.31731050786291415,0.9519315235887424,0.09166984970282112,0.0,0.008403361344537815,site_holdout
risk_adjusted_vs_fusion,realized_cumulative_latency_3_ms,114,0.0018919620325332318,0.0,-0.42117011018662237,0.35631034356853475,47.0,0.7298909084206947,0.7647041797150309,0.000899531071219655,0.06140350877192982,0.06140350877192982,site_holdout
risk_adjusted_vs_fusion,cumulative_decision_gap_3_ms,114,0.0018919620325332318,0.0,-0.42117011018662237,0.35631034356853475,47.0,0.7298909084206947,0.7647041797150309,0.000899531071219655,0.06140350877192982,0.06140350877192982,site_holdout
risk_adjusted_vs_fusion,realized_cumulative_latency_5_ms,111,-0.1220185450820741,0.0,-1.0702536070426696,0.6760034387838508,49.0,0.8260910288588201,0.8260910288588201,-0.025194076117639422,0.05405405405405406,0.07207207207207207,site_holdout
risk_adjusted_vs_fusion,cumulative_decision_gap_5_ms,111,-0.1220185450820741,0.0,-1.0702536070426696,0.6760034387838508,49.0,0.8260910288588201,0.8260910288588201,-0.025194076117639422,0.05405405405405406,0.07207207207207207,site_holdout
risk_adjusted_vs_ensemble_uncertainty,realized_next_latency_ms,119,0.034861780710498086,0.0,-0.18549946441349444,0.26397678683175635,48.0,0.7775646168566407,1.0,0.02777780674317248,0.058823529411764705,0.058823529411764705,site_holdout
