policy_name,decision_count,mean_realized_latency_ms,mean_decision_gap_ms,retrospective_best_path_match_rate,success_rate_under_60ms,p95_realized_latency_ms,cvar95_realized_latency_ms,mean_decision_time_us,switch_rate,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,control_loop_latency_ms,stale_decision_rate,mean_feasible_candidate_count,no_feasible_candidate_rate,scenario_name
predictive_greedy,119,41.64473627963587,3.324335972404726,0.453781512605042,0.8319327731092437,72.11747321118625,75.36247042569507,383.65652941176467,0.453781512605042,41.64473627963587,72.11747321118625,0.0,0.0,3.495798319327731,0.0,site_holdout
predictive_graph_greedy,119,41.938420034820176,3.618019727589027,0.4369747899159664,0.8403361344537815,71.26037254901959,74.81031103835214,379.449243697479,0.5882352941176471,41.938420034820176,71.26037254901959,0.0,0.0,3.495798319327731,0.0,site_holdout
predictive_simple_fusion_greedy,119,41.72239705337462,3.401996746143466,0.5126050420168067,0.8403361344537815,72.58877836543975,75.36247042569507,397.8228319327731,0.5462184873949579,41.72239705337462,72.58877836543975,0.0,0.0,3.495798319327731,0.0,site_holdout
predictive_consensus_greedy,119,41.73511620976116,3.414715902530018,0.42857142857142855,0.8319327731092437,72.11747321118625,75.36247042569507,375.46736974789917,0.47058823529411764,41.73511620976116,72.11747321118625,0.0,0.0,3.495798319327731,0.0,site_holdout
calibrated_fusion_selector,119,41.87807141605139,3.557671108820242,0.5042016806722689,0.8403361344537815,72.58877836543975,75.36247042569507,382.81369747899157,0.5462184873949579,41.87807141605139,72.58877836543975,0.0,0.0,3.495798319327731,0.0,site_holdout
disagreement_only_selector,119,41.72823415157959,3.4078338443484455,0.42857142857142855,0.8319327731092437,72.11747321118625,75.36247042569507,381.49478151260513,0.4789915966386555,41.72823415157959,72.11747321118625,0.0,0.0,3.495798319327731,0.0,site_holdout
ensemble_uncertainty_selector,119,41.54764696984544,3.2272466626142915,0.4789915966386555,0.8487394957983193,72.26336767501205,75.73881822253512,384.6722773109244,0.453781512605042,41.54764696984544,72.26336767501205,0.0,0.0,3.495798319327731,0.0,site_holdout
conformal_uncertainty_selector,119,42.10923727277066,3.7888369655395078,0.453781512605042,0.8235294117647058,72.73467282926555,75.73881822253512,395.88101680672264,0.4789915966386555,42.10923727277066,72.73467282926555,0.0,0.0,3.495798319327731,0.0,site_holdout
calibrated_operational_selector,119,41.69915949084113,3.378759183609978,0.46218487394957986,0.8403361344537815,71.26037254901959,74.81031103835214,380.27907563025207,0.5546218487394958,41.69915949084113,71.26037254901959,0.0,0.0,3.495798319327731,0.0,site_holdout
switch_aware_operational_selector,119,41.63975917832281,3.319358871091664,0.48739495798319327,0.8403361344537815,71.03966278807214,74.16410827136137,512.4372941176471,0.13445378151260504,41.63975917832281,71.03966278807214,0.0,0.0,3.495798319327731,0.0,site_holdout
random,28,52.330042079513284,10.920831144688501,0.32142857142857145,0.75,71.16930285081587,101.75218141142543,402.75896428571434,0.32142857142857145,52.330042079513284,71.16930285081587,0.0,0.0,4.821428571428571,0.0,operational_mild
best_historical_path,28,45.450690017714656,4.041479082889876,0.39285714285714285,0.8214285714285714,66.87940067505481,70.47012764682077,382.16671428571436,0.07142857142857142,45.450690017714656,66.87940067505481,0.0,0.0,4.821428571428571,0.0,operational_mild
highest_reply_availability,28,44.79804248429212,3.388831549467331,0.5357142857142857,0.8928571428571429,64.25816033357098,67.37094853616422,387.44646428571434,0.7142857142857143,44.79804248429212,64.25816033357098,0.0,0.0,4.821428571428571,0.0,operational_mild
reactive_greedy,28,44.532087274461105,3.1228763396363313,0.5,0.8214285714285714,65.64611555152038,67.37094853616422,378.5401428571428,0.6785714285714286,44.532087274461105,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
predictive_greedy,28,45.333851322751016,3.9246403879262344,0.4642857142857143,0.8571428571428571,63.870174709620386,66.33933940714813,385.16217857142857,0.6071428571428571,45.333851322751016,63.870174709620386,0.0,0.0,4.821428571428571,0.0,operational_mild
predictive_graph_greedy,28,44.532087274461105,3.1228763396363313,0.5,0.8214285714285714,65.64611555152038,67.37094853616422,396.0713928571428,0.6785714285714286,44.532087274461105,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
predictive_simple_fusion_greedy,28,44.14479280877902,2.7355818739542452,0.5714285714285714,0.8214285714285714,65.64611555152038,67.37094853616422,379.58475000000004,0.5714285714285714,44.14479280877902,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
predictive_consensus_greedy,28,44.155583847224946,2.74637291240017,0.5357142857142857,0.8214285714285714,65.64611555152038,67.37094853616422,379.29771428571433,0.6428571428571429,44.155583847224946,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
calibrated_fusion_selector,28,44.14479280877902,2.7355818739542452,0.5714285714285714,0.8214285714285714,65.64611555152038,67.37094853616422,377.5328214285714,0.5714285714285714,44.14479280877902,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
disagreement_only_selector,28,44.244947219545004,2.8357362847202254,0.5357142857142857,0.8214285714285714,65.64611555152038,67.37094853616422,381.3912142857143,0.6428571428571429,44.244947219545004,65.64611555152038,0.0,0.0,4.821428571428571,0.0,operational_mild
ensemble_uncertainty_selector,28,44.76302936916001,3.353818434335234,0.5357142857142857,0.8214285714285714,63.870174709620386,65.39065854289088,398.25303571428566,0.7142857142857143,44.76302936916001,63.870174709620386,0.0,0.0,4.821428571428571,0.0,operational_mild
conformal_uncertainty_selector,28,43.85972681005561,2.4505158752308316,0.5357142857142857,0.8571428571428571,63.870174709620386,65.39065854289088,386.2484285714286,0.6071428571428571,43.85972681005561,63.870174709620386,0.0,0.0,4.821428571428571,0.0,operational_mild
